49452.00ms : -0.42;-0.38;0.15;-66.10;104.31;-174.62
49472.00ms : -0.41;-0.45;0.06;-53.10;122.56;-183.17
49492.00ms : -0.29;-0.54;0.11;-47.24;146.79;-203.49
49512.00ms : -0.32;-0.39;0.25;-43.52;147.95;-220.15
49532.00ms : -0.38;-0.19;0.27;-49.38;143.92;-214.60
49552.00ms : -0.38;-0.18;0.29;-49.62;151.31;-207.03
49572.00ms : -0.33;-0.18;0.36;-45.29;159.67;-203.98
49592.00ms : -0.31;-0.08;0.43;-38.57;163.57;-199.52
49612.00ms : -0.29;-0.00;0.47;-31.31;166.38;-189.88
49632.00ms : -0.24;0.04;0.52;-23.44;167.60;-174.93
49652.00ms : -0.19;0.04;0.55;-23.07;164.98;-161.25
49672.00ms : -0.16;0.05;0.58;-16.85;161.56;-149.23
49692.00ms : -0.12;0.06;0.57;-10.93;156.68;-139.16
49712.00ms : -0.08;0.06;0.56;-2.26;156.74;-130.86
49732.00ms : -0.02;0.08;0.57;6.04;153.32;-121.09
49752.00ms : 0.02;0.07;0.54;11.84;150.63;-111.21
49772.00ms : 0.08;-0.03;0.56;18.98;147.89;-110.84
49792.00ms : 0.13;-0.01;0.57;26.79;143.92;-110.11
49812.00ms : 0.19;0.08;0.65;24.35;129.03;-89.11
49832.00ms : 0.25;0.13;0.78;10.31;90.64;-59.81
49852.00ms : 0.22;0.25;0.92;1.77;36.19;-17.21
49872.00ms : 0.25;0.19;0.99;-6.53;-22.52;21.30
49892.00ms : 0.28;0.14;0.91;-0.98;-70.80;51.94
49912.00ms : 0.23;0.14;0.91;7.81;-104.49;73.06
49932.00ms : 0.22;0.06;0.89;15.01;-136.17;83.86
49952.00ms : 0.22;0.14;0.94;23.38;-174.44;98.33
49972.00ms : 0.19;0.25;0.97;24.84;-222.72;127.38
49992.00ms : 0.18;0.30;0.95;24.54;-280.33;167.72
50012.00ms : 0.15;0.32;0.94;19.96;-347.60;213.13
50032.00ms : 0.17;0.27;0.67;21.42;-399.72;258.97
