32099.00ms : 0.47;-0.84;-0.98;270.02;-249.45;10.19
32119.00ms : 0.51;-0.94;-0.95;254.33;-249.21;9.58
32139.00ms : 0.55;-0.90;-0.91;238.34;-248.29;10.80
32159.00ms : 0.57;-0.82;-0.89;231.20;-245.00;17.76
32179.00ms : 0.58;-0.80;-0.88;229.00;-238.04;25.15
32199.00ms : 0.66;-0.89;-0.86;222.17;-227.97;26.49
32219.00ms : 0.63;-0.77;-0.76;207.34;-218.93;29.91
32239.00ms : 0.67;-0.76;-0.73;201.48;-211.67;38.39
32259.00ms : 0.71;-0.76;-0.64;195.31;-203.37;34.12
32279.00ms : 0.70;-0.66;-0.59;188.54;-200.38;30.64
32299.00ms : 0.74;-0.64;-0.66;187.19;-200.01;36.25
32319.00ms : 0.78;-0.63;-0.67;187.07;-199.52;36.68
32339.00ms : 0.81;-0.55;-0.65;189.27;-201.17;37.54
32359.00ms : 0.87;-0.60;-0.68;189.58;-197.14;44.19
32379.00ms : 0.85;-0.67;-0.66;188.84;-192.38;51.21
32399.00ms : 0.85;-0.72;-0.71;187.81;-187.93;53.41
32419.00ms : 0.92;-0.64;-0.73;179.32;-187.01;47.79
32439.00ms : 0.94;-0.59;-0.78;174.26;-184.63;54.63
32459.00ms : 0.90;-0.62;-0.71;179.38;-177.67;59.02
32479.00ms : 0.83;-0.80;-0.59;190.80;-164.92;63.11
32499.00ms : 0.75;-0.90;-0.62;176.21;-154.85;53.65
32519.00ms : 0.79;-0.84;-0.63;154.54;-150.15;50.78
32539.00ms : 0.85;-0.69;-0.65;143.49;-142.58;54.08
32559.00ms : 0.80;-0.70;-0.55;145.14;-129.52;56.58
32579.00ms : 0.69;-0.82;-0.49;140.87;-117.07;59.69
32599.00ms : 0.67;-0.95;-0.47;115.78;-107.97;52.00
32619.00ms : 0.75;-0.76;-0.53;92.83;-108.22;50.29
32639.00ms : 0.80;-0.67;-0.60;94.60;-102.36;53.04
32659.00ms : 0.74;-0.73;-0.60;106.32;-92.83;51.82
32679.00ms : 0.71;-0.75;-0.59;109.74;-86.67;42.85
32699.00ms : 0.76;-0.67;-0.60;110.72;-81.12;40.53
32719.00ms : 0.75;-0.76;-0.59;111.63;-71.17;39.73
32739.00ms : 0.68;-0.84;-0.55;105.16;-62.50;36.99
32759.00ms : 0.65;-0.79;-0.53;92.65;-57.31;35.52
32779.00ms : 0.69;-0.72;-0.45;81.73;-53.22;36.19
32799.00ms : 0.72;-0.70;-0.42;75.44;-50.23;36.25
32819.00ms : 0.75;-0.65;-0.42;71.59;-48.71;30.52
32839.00ms : 0.79;-0.53;-0.42;74.95;-53.83;26.73
32859.00ms : 0.83;-0.56;-0.42;88.38;-56.52;26.49
32879.00ms : 0.81;-0.63;-0.41;101.68;-62.81;18.98
32899.00ms : 0.82;-0.55;-0.42;114.26;-70.86;9.58
32919.00ms : 0.85;-0.53;-0.43;127.08;-77.51;6.59
32939.00ms : 0.85;-0.62;-0.43;139.16;-80.51;0.98
32959.00ms : 0.87;-0.60;-0.46;147.40;-85.88;-2.69
32979.00ms : 0.84;-0.56;-0.48;158.39;-89.78;-1.89
