11880.00ms : -0.41;1.35;0.74;-16.85;85.94;-123.54
11900.00ms : -0.19;1.49;1.20;74.04;73.85;-92.59
11920.00ms : -0.15;1.75;1.68;165.22;5.13;-65.49
11940.00ms : -0.01;1.91;1.56;237.43;-79.71;8.12
11960.00ms : 0.07;1.74;1.27;286.19;-165.34;106.02
11980.00ms : 0.14;1.44;0.76;320.62;-230.96;190.80
12000.00ms : 0.11;1.20;0.42;341.98;-280.09;260.07
12020.00ms : 0.23;0.96;-0.03;332.70;-329.83;317.32
12040.00ms : 0.36;0.56;-0.51;312.87;-343.63;367.43
12060.00ms : 0.51;0.23;-0.85;317.38;-338.50;408.08
12080.00ms : 0.72;-0.06;-0.82;286.62;-336.43;433.23
12100.00ms : 1.17;-0.41;-0.64;205.57;-378.17;439.94
12120.00ms : 1.32;-0.96;-1.25;119.08;-371.09;441.77
12140.00ms : 0.94;-1.58;-1.64;59.45;-253.05;382.32
12160.00ms : 0.53;-1.90;-1.39;63.48;-136.90;289.98
12180.00ms : 0.36;-1.96;-1.13;106.57;-43.15;176.57
12200.00ms : 0.43;-1.32;-0.73;76.05;-37.72;109.37
12220.00ms : 0.06;-1.48;-0.08;85.08;-83.98;44.07
12240.00ms : 0.19;-1.31;-0.29;134.83;-200.56;6.71
12260.00ms : 0.24;-0.83;-0.80;152.22;-208.92;20.87
12280.00ms : 0.15;-0.92;-1.09;89.97;-173.22;42.97
12300.00ms : 0.04;-0.96;-1.13;45.47;-101.87;55.60
12320.00ms : 0.01;-1.11;-1.01;36.44;-56.21;72.63
12340.00ms : 0.13;-1.26;-0.97;58.11;-18.98;66.04
12360.00ms : 0.10;-1.12;-0.66;82.15;-23.32;38.27
12380.00ms : 0.12;-0.96;-0.84;91.25;-31.07;21.06
12400.00ms : 0.17;-0.89;-1.00;79.90;-14.47;19.59
12420.00ms : 0.14;-1.02;-1.06;40.22;-5.13;28.99
12440.00ms : 0.22;-1.25;-1.27;-16.60;9.40;22.77
12460.00ms : 0.35;-1.73;-1.37;-68.60;24.72;-4.09
12480.00ms : 0.37;-2.04;-1.35;-103.45;29.30;-46.08
12500.00ms : 0.27;-1.77;-1.45;-103.03;40.65;-75.56
12520.00ms : 0.25;-1.46;-1.46;-115.42;74.58;-87.40
12540.00ms : 0.25;-1.41;-1.38;-136.72;124.33;-114.14
12560.00ms : 0.17;-1.03;-1.11;-198.43;160.16;-143.25
12580.00ms : 0.16;-0.84;-0.93;-260.68;175.05;-163.21
12600.00ms : 0.16;-0.68;-0.83;-260.01;196.29;-162.66
12620.00ms : 0.14;-0.70;-0.55;-226.14;200.81;-139.89
12640.00ms : 0.14;-0.80;-0.42;-188.90;192.57;-135.25
12660.00ms : 0.11;-0.75;-0.38;-207.21;181.46;-167.18
12680.00ms : 0.16;-0.57;-0.24;-243.65;168.46;-207.70
12700.00ms : 0.13;-0.39;-0.14;-198.06;157.29;-189.82
12720.00ms : 0.12;-0.35;0.02;-149.54;141.91;-143.80
12740.00ms : 0.12;-0.38;0.11;-145.87;125.85;-142.03
12760.00ms : -0.14;-0.20;0.23;-169.37;102.17;-146.12
12780.00ms : -0.42;-0.01;0.15;-203.37;93.32;-138.55
12800.00ms : -0.14;-0.35;0.03;-206.18;122.86;-136.96
12820.00ms : 0.05;-0.37;0.20;-191.22;133.91;-142.88
12840.00ms : -0.10;-0.16;0.53;-160.71;85.27;-100.89
12860.00ms : -0.17;-0.19;0.25;-159.00;71.04;-87.04
